variant,split,model,status,spearman,rmse,fold_spearman_mean,fold_spearman_std,folds,members
legacy_drop_smiles_baseline_4fold,drug_group_4fold,weighted_top3_ensemble,completed,0.5225336555977002,2.180982089053511,,,[],"[{'model': 'xgboost', 'spearman': 0.4993166687198851, 'weight': 0.3368479907512665}, {'model': 'randomforest', 'spearman': 0.4964004132897614, 'weight': 0.33488065004348755}, {'model': 'extratrees', 'spearman': 0.4866034184727576, 'weight': 0.32827141880989075}]"
legacy_drop_smiles_baseline_4fold,drug_group_4fold,xgboost,completed,0.4993166687198851,2.22372823652025,0.4986332981466004,0.0863179684808864,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.3835587666628756, 'rmse': 2.495466699774336}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5707784636622834, 'rmse': 1.9830524512821472}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.44786700164129084, 'rmse': 2.566643969530426}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5923289606199518, 'rmse': 1.741367095602923}]",
legacy_drop_smiles_baseline_4fold,drug_group_4fold,randomforest,completed,0.4964004132897614,2.223801463637551,0.5125828609804761,0.11470672058302,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.33035188620417827, 'rmse': 2.5749420863185035}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.610108811175647, 'rmse': 1.9918170659354266}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.49870541122406326, 'rmse': 2.4892908560294567}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.6111653353180162, 'rmse': 1.7282770541796904}]",
legacy_drop_smiles_baseline_4fold,drug_group_4fold,extratrees,completed,0.4866034184727576,2.2201725872071485,0.5012137423045167,0.10506217704285,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.3301331771634441, 'rmse': 2.6120985060280733}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.6078657988963969, 'rmse': 1.9033793738230933}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5066557452848192, 'rmse': 2.453125485948648}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.560200247873406, 'rmse': 1.8035876733353176}]",
legacy_drop_smiles_baseline_4fold,drug_group_4fold,residual_mlp,completed,0.4847949901342754,2.195079750402299,0.4954887330232368,0.1027268007329092,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.3253957910919551, 'rmse': 2.617217835207825}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5785004882678453, 'rmse': 1.9100520879822995}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5029942364245005, 'rmse': 2.3776545496627004}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5750644163086466, 'rmse': 1.766955524197881}]",
legacy_drop_smiles_baseline_4fold,drug_group_4fold,flat_mlp,completed,0.4689478969359932,2.1961510845178784,0.4858635866643196,0.1134071261837161,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.29884984489162025, 'rmse': 2.6455397155122315}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5607476772961334, 'rmse': 1.9264697842281533}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.49409323112854436, 'rmse': 2.3472800564334197}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.5897635933409805, 'rmse': 1.7528346808994404}]",
legacy_drop_smiles_baseline_4fold,random_4fold,lightgbm,completed,0.8501794930982337,1.14950278562828,0.8495341109495121,0.0211465230400398,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8477607915739754, 'rmse': 1.2106389323679974}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8752920127316137, 'rmse': 1.1097384649898825}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8171156418817949, 'rmse': 1.1697402838645665}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8579679976106643, 'rmse': 1.1045218682116655}]",
legacy_drop_smiles_baseline_4fold,random_4fold,weighted_top3_ensemble,completed,0.8498614166110757,1.156934638565067,,,[],"[{'model': 'lightgbm', 'spearman': 0.8501794930982337, 'weight': 0.33883753418922424}, {'model': 'xgboost', 'spearman': 0.8459959510873475, 'weight': 0.33717018365859985}, {'model': 'flat_mlp', 'spearman': 0.8129312801743445, 'weight': 0.3239923417568207}]"
legacy_drop_smiles_baseline_4fold,random_4fold,xgboost,completed,0.8459959510873475,1.1679226154924858,0.8452577791393562,0.0222267205038464,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8415536912797906, 'rmse': 1.2509257703083965}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8757321989465798, 'rmse': 1.1314066088269839}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8134963710078899, 'rmse': 1.175125851891668}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8502488553231643, 'rmse': 1.1092143949924798}]",
legacy_drop_smiles_baseline_4fold,random_4fold,flat_mlp,completed,0.8129312801743445,1.2868944373568818,0.8130949183068423,0.0217436752245788,"[{'fold': 1, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8336245839691868, 'rmse': 1.307646314483176}, {'fold': 2, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.8281377703827967, 'rmse': 1.2825957418327367}, {'fold': 3, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.7778344918011447, 'rmse': 1.2690345614170577}, {'fold': 4, 'n_train': 2547, 'n_valid': 849, 'spearman': 0.812782827074241, 'rmse': 1.2880020866258672}]",
